,T054_PPD,T054_BCG,T054_B1,T051_PPD,T051_BCG,T051_B1,T048_PPD,T048_BCG,T048_B1,T047_PPD,T047_BCG,T047_B1,T042_PPD,T042_BCG,T042_B1,T039_PPD,T039_BCG,T039_B1,T038_PPD,T038_BCG,T038_B1,T035_PPD,T035_BCG,T035.B1,T033_PPD,T033_BCG,T033.B1,T032_PPD,T032_BCG,T032_B1,T031_PPD,T031_BCG,T031_B1,T026_PPD,T026_BCG,T026_B1,T025_PPD,T025_BCG,T025_B1,T016_PPD,T016_BCG,T016_B1,T015_PPD,T015_BCG,T015_B1,T014_PPD,T014_BCG,T014_B1,T013_PPD,T013_BCG,T013_B1,T011_PPD,T011_BCG,T011_B1
aDC,0.10527056,0.007894123,0,0,0,5.93E-18,0.152897983,0.002291678,5.95E-18,0,6.36E-18,0,0.147595823,4.06E-19,1.64E-18,0.204690059,0.025684944,3.90E-05,1.78E-18,0,0,3.98E-18,0,3.88E-18,0.106604134,0.02382393,0,0.088469037,0.023925375,0.009752101,0.040418021,0.020757509,0.008038798,0.044287035,5.76E-19,2.48E-19,0.142523532,0,0,0.115628528,0,0,0.166379337,0.023293607,0.034893883,0.072223024,0,0.002082302,0.127010882,0.063642407,0.018635321,0.056974343,0.040767385,0.021743366
B-cells,0.007249107,0,0,0.001485908,0.008631349,4.74E-21,0.03578517,0.000762508,0,3.19E-19,0,8.25E-19,0.023325312,0,1.50E-20,0.008351374,7.64E-20,0,0.01559857,0.023889779,0.012044973,2.09E-19,2.63E-18,0,0.056020004,0.006435171,0,0.005139004,0,1.51E-19,0.003426378,0.005077729,0.0034471,1.95E-19,0.000473284,0.002408382,0.015631948,0.006206179,0.003443377,0.014475447,1.64E-20,0,0.029092355,0.015469052,0.016317341,0.024516951,1.61E-18,0,4.18E-21,0.013393289,0.001126535,4.51E-19,0.00073733,3.92E-19
Basophils,0.056496946,0,0.011360665,0,0.006095707,0.033584428,0.121449433,1.86E-19,0.000428574,0.063738997,0.033593665,0.00562267,0.016867621,0.055592035,0.007000585,0.022711252,0.042579971,0.008084409,0.063974588,0.011825247,0.019866939,0.009955969,0.065957538,0.007201052,0.003358053,1.42E-18,2.50E-18,0.025862325,0.021539065,5.13E-19,0.01086454,0,0.031434364,0.048227752,0.014587836,0.010534553,1.88E-19,0.003626898,0.00997699,0.02312501,0.076561483,0.028197693,0.082147639,0,0.007390519,0.010109608,0,0.007096096,0.037176948,0.05083986,0.026209258,0.043857636,0.020637873,0.012459946
CD4+ memory T-cells,0.096300117,0,2.38E-19,0.204837178,0.00522657,0.005673175,0.189053322,0.000771693,0.000673062,0.231030939,1.79E-20,0.002461975,0.216563612,0.001460396,0.009275145,0.156372415,0,6.46E-05,0.039079745,0.10675806,0.040089055,0.005587569,2.09E-19,0.003314964,0.247092815,0.100578185,0.013133184,0.103095973,0.006458551,0.011306982,0,0.006837566,0.001378905,0.135041563,0.008100366,0.001592679,0.220854988,0.011673242,0.000866686,0.126186252,0.027354443,0.007884904,0.179772552,0.003958483,9.34E-21,0.143248312,3.99E-19,0,0.147702147,0.033854305,2.08E-19,0.030345703,0.038585089,0.053423791
CD4+ naive T-cells,0.043266,0,0,0.230375874,0.002212822,3.73E-19,0.122197064,0,4.14E-19,0.17844268,1.13E-18,0,0.128755857,2.38E-18,1.61E-18,0.085477875,3.97E-19,0,0.015105711,0,0,0,0,1.83E-18,0.091575777,0,0,0.045359581,1.34E-18,1.12E-19,0,4.30E-19,0,0.044708753,9.71E-20,7.27E-19,0.098338719,0,1.26E-18,0.043897615,0,1.97E-18,0.024590318,1.08E-18,1.12E-20,0.016135052,6.55E-19,0,0.106153226,0.061993324,0,0.006409502,0.001613286,0
CD4+ T-cells,0.072386244,2.95E-18,5.04E-18,0.224731324,7.58E-21,1.13E-18,0.149123348,0,8.27E-19,0.192737254,0,1.62E-18,0.171238849,0,0,0.111345964,0,0,0.01352353,0.026854354,0.003637772,0,0,5.33E-19,0.147361769,0.040469501,0,0.074627636,5.97E-20,0.001404803,0,0.000173926,0,0.130678658,0.0037919,1.05E-19,0.180303711,0,0,0.085752512,0,0,0.095324064,0.00153918,5.20E-18,0.074451906,0,1.23E-18,0.11945052,0.04361129,0,0.001828413,0.02103982,0.009199555
CD4+ Tcm,0.077413284,0,0.010053735,0.177796482,0.002121313,1.11E-18,0.111302349,0.002219719,0,0.137815632,0.001741465,0,0.127546572,0.02225792,0.016470456,0.075121051,0,6.05E-20,0.002985167,1.02E-17,0.011082894,0,2.11E-18,0,0.082387205,0.007614276,0.00158844,0.05625579,0.006666871,0.028214728,1.03E-19,4.64E-19,0.017710917,0.09982918,0.012186089,0.010196572,0.120032676,0.011720267,0.013761882,0.075846439,3.55E-21,7.38E-20,0.063434379,0.027333881,0.015365002,0.051882561,0,0,0.07411406,0.069962264,0.004623937,0,0.0202241,0.001687424
CD4+ Tem,0.147337206,6.06E-18,9.31E-21,0.202939028,0.015004487,0,0.179019776,1.31E-20,7.58E-19,0.25150786,3.46E-18,0,0.234832627,0.000984476,0.004518493,0.183042339,0.008477766,1.23E-18,0.057649613,0.137053155,0.034358721,0,0,0,0.245830824,0.15382274,0.02912387,0.143564058,0.010437952,9.55E-20,0.000841181,0.007863933,0.009190232,0.189711893,0.047132832,0.00551855,0.200672441,0.019607993,0.00081166,0.205408231,0.058908266,4.71E-22,0.197180205,0.007595651,4.86E-19,0.185795928,0,0,0.18132472,0.087368084,1.92E-18,0.082616296,0.072454999,0.06669716
CD8+ naive T-cells,0.000609382,0,3.22E-19,0.042787119,0.003781028,0.00641691,0.022785146,0.001451747,0.00010046,0.036153643,2.72E-19,0.001236805,0.012298138,0,0.007164987,0.018901391,6.31E-20,0.000601395,0.006020845,0.018230589,0.007229775,0.001271228,0,0.004359674,0.028879216,0.010781067,0.006066321,0.005162085,0.001753477,0.003840547,0,0.002396665,2.95E-22,0.022554815,1.75E-22,6.66E-20,0.047468519,0.005496803,9.12E-23,0.00080487,0,6.49E-05,0.009599633,0,0,0.01399126,0,0.003714806,0.01129942,8.31E-20,1.82E-18,0.002812646,0.002295019,0.011356035
CD8+ T-cells,0.040027791,0,1.54E-18,0.24158617,0.00658471,0,0.098899588,3.28E-19,0,0.166322386,0,7.79E-19,0.095500825,0,0,0.109988584,2.32E-18,0,0.066848002,0.12346742,0.073897141,7.25E-20,0,0.004094899,0.10292079,0.020389693,0,0.034528797,0.001142987,0.004886549,1.31E-19,0.000442455,0.000187269,0.053623239,0.002475611,1.12E-18,0.125671643,0.004395553,0,0.050917862,1.25E-18,6.90E-19,0.029096607,0,3.07E-18,0.043726623,3.18E-18,0,0.066856296,0.023908269,3.16E-18,0,0.009583936,0.009678476
CD8+ Tcm,0.082443185,0,6.35E-19,0.228549118,0.010869272,0,0.141814732,0.000295428,0,0.194709889,5.29E-19,0.002660895,0.147916122,0,0.006976909,0.17049778,1.21E-19,3.50E-19,0.083667881,0.201218216,0.109836393,0.00627692,0,0.006752205,0.181345004,0.080612403,0.009273368,0.075467637,0.013285616,0.014461193,4.50E-20,0.005510317,1.81E-19,0.077925646,0.003715162,2.23E-18,0.167530612,0.010530124,2.00E-18,0.11545151,0.016676647,0.002504417,0.114548946,1.23E-19,4.21E-18,0.116512913,2.94E-19,5.65E-19,0.10578351,0.020977312,1.25E-19,0.018103815,0.033616164,0.041870996
CD8+ Tem,0.021826848,0,1.22E-17,0.094568255,0.000560138,1.56E-18,0.020577017,0,0,0.085227996,2.01E-18,2.89E-18,0.046846202,8.53E-19,0,0.038594111,8.45E-19,7.08E-18,0.049768679,0.112338662,0.056861768,4.60E-19,1.10E-18,0,0.070571446,0.033369632,0.000136555,0.034393396,0.003614813,0.004211058,6.68E-19,0.000504498,0,4.10E-21,0.002790578,7.95E-19,0.039557317,0.000948132,3.50E-18,0.048691674,0,0,0.021934618,0,2.23E-17,0.023386212,0,0,0.009531372,0.002271338,5.55E-19,0,0.002744294,0.007121038
